term,polarity,score,category,domain,source_file,is_passenger_relevant,vader_key,is_phrase
aborted takeoff,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,aborted_takeoff,True
abruptly cancelled,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,abruptly_cancelled,True
accurate information,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,accurate_information,True
advanced,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,advanced,False
affordable,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True,affordable,False
ahead of schedule,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,ahead_of_schedule,True
annoying,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,annoying,False
anxious,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,anxious,False
arrogant,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,arrogant,False
attentive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,attentive,False
awful experience,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,awful_experience,True
bad experience,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,bad_experience,True
bad service,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,bad_service,True
bad smell,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,bad_smell,True
baggage not delivered,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,baggage_not_delivered,True
biased,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,biased,False
brand-new,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,brand-new,False
broken baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,broken_baggage,True
broken belt,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,broken_belt,True
broken screen,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,broken_screen,True
broken seat,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,broken_seat,True
cancelled,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,cancelled,False
careless,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,careless,False
caring,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,caring,False
chaotic boarding,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,chaotic_boarding,True
child-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,child-friendly,False
clean,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,clean,False
clear announcements,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,clear_announcements,True
clear instructions,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,clear_instructions,True
clear refund policy,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,clear_refund_policy,True
clearly communicated,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,clearly_communicated,True
cold staff,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,cold_staff,True
comfortable,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,comfortable,False
comfortable journey,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,comfortable_journey,True
concerned,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,concerned,False
conflicting information,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,conflicting_information,True
confusing policy,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True,confusing_policy,True
consistent,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,consistent,False
consistently on-time,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,consistently_on-time,True
constant delay,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,constant_delay,True
controlled,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True,controlled,False
convenient,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,convenient,False
cost-effective,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,cost-effective,False
courteous,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,courteous,False
cramped,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,cramped,False
crosswind hazard,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,crosswind_hazard,True
crowded,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,crowded,False
damaged baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True,damaged_baggage,True
deeply disappointing,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,deeply_disappointing,True
delayed,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,delayed,False
delayed baggage,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,delayed_baggage,True
delightful experience,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,delightful_experience,True
dirty,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True,dirty,False
disappointing,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,disappointing,False
discriminatory,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,discriminatory,False
dismissive,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,dismissive,False
disorganized,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True,disorganized,False
disrespectful,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True,disrespectful,False
distrustful,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True,distrustful,False
easy check-in,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True,easy_check-in,True
eco-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True,eco-friendly,False
