term,polarity,score,category,domain
aborted takeoff,negative,-1,operations,safety
abruptly cancelled,negative,-1,schedule,passenger
accident,negative,-2,safety,safety
annoying,negative,-1,operations,safety
anxious,negative,-1,emotion,safety
arrogant,negative,-1,service,passenger
autopilot failure,negative,-1,safety,safety
awful experience,negative,-1,operations,safety
bad experience,negative,-1,operations,safety
bad service,negative,-1,operations,safety
bad smell,negative,-1,comfort,passenger
baggage not delivered,negative,-1,baggage,passenger
biased,negative,-1,service,passenger
bird strike,negative,-1,safety,safety
broken baggage,negative,-1,baggage,passenger
broken belt,negative,-1,operations,safety
broken screen,negative,-1,operations,safety
broken seat,negative,-1,comfort,passenger
cabin depressurization,negative,-1,safety,safety
cancelled,negative,-1,schedule,passenger
careless,negative,-1,operations,safety
catastrophic failure,negative,-3,safety,safety
chaotic boarding,negative,-1,schedule,passenger
cold staff,negative,-1,operations,safety
collision,negative,-2,safety,safety
communication failure,negative,-1,safety,safety
concerned,negative,-1,operations,safety
conflicting information,negative,-1,communication,passenger
confusing policy,negative,-1,communication,passenger
constant delay,negative,-1,operations,safety
contaminated runway,negative,-1,safety,safety
cramped,negative,-1,comfort,passenger
crash,negative,-3,safety,safety
critical failure,negative,-1,safety,safety
crosswind hazard,negative,-1,operations,safety
crowded,negative,-1,comfort,passenger
damaged baggage,negative,-1,baggage,passenger
deeply disappointing,negative,-1,operations,safety
delayed,negative,-1,schedule,passenger
delayed baggage,negative,-1,schedule,passenger
dirty,negative,-1,comfort,passenger
disappointing,negative,-1,operations,safety
discriminatory,negative,-1,service,passenger
dismissive,negative,-1,service,passenger
disorganized,negative,-1,operations,safety
disrespectful,negative,-1,service,passenger
distrustful,negative,-1,emotion,safety
engine failure,negative,-2,safety,safety
engine fire,negative,-3,safety,safety
excessive waiting,negative,-1,schedule,passenger
exhausted,negative,-1,operations,safety
extreme turbulence,negative,-1,safety,safety
extremely frustrating,negative,-1,operations,safety
extremely noisy,negative,-1,comfort,passenger
extremely unacceptable,negative,-1,operations,safety
