original_index,AirlineName,CabinType,OverallScore,Recommended,Review,lda_topic,lda_topic_probability,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,topic_5_prob,topic_6_prob
0,American Airlines,Economy Class,1.0,no,"My first flight was delayed due to weather. Understandably, it's winter. I expressed my concern that because of the one hour delay I would not be able to make my connection flight and immediately sought out an attendant. The attendant understood, and reserved a backup flight in case the our original second flight took off before we landed. Once we landed we discovered that before we even were taxied to the gate our backup was cancelled and our connecting flight was in the air. On a call to customer relations they couldn't do anything for us until tomorrow. Leaving us in Dallas. We talked back and forth until they said they could set us up on a backup flight to a town 70 miles away from our ending destination. Who knows how this will end up. I've always flown Delta and have never had a problem. Will never use American Airlines again.",3,0.621904,0.2292,0.002173,0.002175,0.621904,0.140203,0.00217,0.002174
1,American Airlines,Economy Class,1.0,no,The worst airline to fly through. They will give your seat away - we had an emergency and weren't able to check in an hour before. We watched people check in for our flight while we waited an 4 hours for the next flight.,1,0.57483,0.008973,0.57483,0.008968,0.380386,0.008955,0.008952,0.008937
2,Qantas Airways,Economy Class,2.0,no,"✅ , |  Perth to Singapore on a Qantas Boeing 737-800 was a cramped flight. I'm only 5'10"", in a small plane with only 6 seats across and there was no room to recline so cannot sleep. I will return to using Scoot in their Boeing 787 or Singapore Air. Sadly the food was not very good either compared to my next flight with Royal Brunei.",5,0.717551,0.004766,0.004771,0.004767,0.058322,0.004769,0.717551,0.205052
3,United Airlines,Economy Class,1.0,no,"Las Vegas to Halifax via Newark. These people are the most rude and selfish people I have ever dealt with. I am in the Canadian military and specifically asked before booking my flight whether we were covered for checked baggage. I was told that I am and so I booked with them. Now being at the airport they tell me they only cover for US and refuse to do anything to help me out. They were condescending, rude, and refused to help out with anything wanting me to pay over $300USD for my 3 bags. Eventually rebooked to Air Canada and I would recommend Air Canada to anyone.",1,0.460988,0.003182,0.460988,0.290029,0.003194,0.00319,0.003179,0.236239
4,Flair Airlines,Economy Class,3.0,no,"Edmonton to Toronto. I probably won’t ever fly with Flair again. I saved $0. I may have even spent more than if I would’ve flown with WestJet or Air Canada. Not impressed. I specifically bought and under-seat bag to carry valuable work equipment in. They double checked it at the gate and made me pay an extra $35 each way for the bag because they thought it was too big, making it an extra $73 total for a carry on stowed bag which should’ve been free. I got on the plane, and it sure enough did fit under the seat with plenty of foot space and room. I was not impressed.",1,0.9021,0.002922,0.9021,0.002921,0.002925,0.002933,0.002923,0.083276
5,Air France,Economy Class,5.0,no,KIX-CDG-OSL in March first leg with 777-200 second operated by HOP! with an Embraer 190. At Osaka Kansai Airport Air France operates at the southern part of the terminal which means a short train ride from the main hall. I arrived about one hour earlier than I really needed to so I had lot of time to spend in the deserted South terminal which really doesn't have many shops or dining areas. This hasn't anything to do with the airline though. But anyway - boarding went smoothly and fast maybe because most of the PAX were Japanese but more likely because very few PAX. The seats of Air France's old cabin at first look looks quite comfortable and nice but really they isn't. They're too hard and worn for a 12 hour flight. TV-screens were also quite worn and the IFE system even worse. Luckily Air France provides a generous amenity kit even in their economy class with noise- cancelling ear plugs low quality headphones sleeping mask and a wet-wipe which they are handing out shortly after takeoff. Food quality is average. We got a choice of two dinners a Japanese (a sesame beef I believe) or a Western as well as breakfast. Catering was extremely poor during the 12 hour long flight they only came serving us beverage two times. And by the way cabin crew wasn't really nice either. They seemed stressed and tired. The captain on the other hand made an announcement every time arriving over new areas which was nice. Second leg was an average short haul-flight with beverage and a sandwich. Nothing special.,5,0.775219,0.151416,0.000949,0.000949,0.021641,0.000951,0.775219,0.048875
6,Southwest Airlines,Economy Class,1.0,no,"Las Vegas to Baltimore via Chicago. Never never again. Our first flight was supposed to be to Midway/Chicago then on to BWI but it was cancelled due to weather. Understandable, not a huge issue. We were given a direct flight to BWI which left Vegas 9 hours later then they rerouted us to Norfolk, left us here for 5 hours then just delayed us another 2 hours!! I have no idea where or luggage is or will be and nobody seems to know or care. Never again will I travel with Southeast and I will make sure nobody I know does either.",3,0.822116,0.003334,0.003331,0.16123,0.822116,0.003331,0.003328,0.003331
7,Etihad Airways,Economy Class,3.0,no,"Athens to Sydney via Abu Dhabi. This was a first time flying Etihad and it was nothing but poor. The service was bad, the flight attendants didn’t want to be there and were rude. Our check in bags also got destroyed. The food was bad and the the seats were dirty. We also had air con that leaked all over me and my partner and the CSM did nothing about it, even though we got drenched! We flew them to Europe and back and all 4 flights were bad! Never will I fly Etihad Airways again. I will give them a 3 out of 10 because the pilots were good.",5,0.533288,0.077567,0.207449,0.00368,0.003681,0.003673,0.533288,0.170662
8,Air Canada,Economy Class,2.0,no,"✅ , |  Cramped and not family friendly, are my resounding thoughts. I was travelling with my family, on route from Florida from Toronto to Heathrow, and Air Canada were offering reasonable prices at the time of looking. On booking the flight we requested a bassinet for our baby. We didn't get one despite repeated requests at the airport and on the plane. No attempt was made to accommodate this request. The seats on the plane with capacity for bassinets didn't have babies in them. There were other families with babies that were refused a bassinet. We are frequent fliers and I've never had this issue with an airline before. I was repeatedly hit with the trolleys as the cabin crew made their way up and down the aisles and also by other customers. The issue appears to have been caused by the introduction of an additional seat, so on the 787 the configuration of seating is 3-3-3 in economy. I spoke to the cabin crew about it, as I was unhappy at not being able to get any rest, and on a few occasions when I was holding our baby, his head was also knocked. The cabin crew also expressed their concerns as the reduced width makes their job that much more difficult and that this configuration will be the norm going forward.",5,0.544585,0.001629,0.24006,0.160817,0.001632,0.001631,0.544585,0.049645
9,TAP Portugal,Economy Class,7.0,no,"Booked my flight during the pandemic and rescheduled twice. Endless calls with TAP's contact centre. Contact members giving contradicting advice on flight options. Some employees would be very calm and patient, others would simply cut the line. This part was horrible. I spend hours calling them. We took our flights with a 6-month baby and used the bassinet. We had our doubts beforehand, but were positively surprised. Staff was very friendly and helpful. Aircraft clean and well maintained. Layover in Lisbon straightforward. Lisbon-Amsterdam was a full flight, so space was limited unfortunately. Wanted to share this experience, because TAP has such a bad rating. I have flown TAP before to Brazil and must confess that both my experiences weren't bad at all. Contact centre must be improved though.",5,0.324018,0.002108,0.002109,0.201607,0.002109,0.323081,0.324018,0.144967
10,American Airlines,Economy Class,2.0,no,"When we booked our flights several months ago there was not a direct flight from Charlotte to Albany so we booked via Chicago, recognizing how circuitous and inconvenient it would be. When we arrived at the Charlotte airport for our flight home to Albany we noticed that there was a direct flight to Albany and were told that there were many seats available. We asked if we could be out I that flight but at every turn were told that it was against company policy and that such a change would cost $200 each. We realize what ""the policy"" is but were hoping in a rationale, customer focused world we could get on a flight with vacancies that was going directly to Albany rather than having to fly halfway across the country only to return to the east coast. Of course the rationale is that the direct flight ""might"" have cost less than the flight we booked. When I asked for a comparison of the costs of the 2 flights at the time we booked it the airline said there was no way they could tell. Even though many airlines look for every conceivable angle to make money off their customers it's a shame that American assumes the same pecuniary motives from their customers. And so a flight to Albany with plenty of empty seats will leave soon. We won't be on it. But we will be on the flight leaving at a nearby gate to Chicago and once there we will hop a flight to Albany. Bureaucratic policies which focus solely on the bottom line rather than on the customer ultimately will damage the bottom line. Next time we will go through great lengths to fly Southwest where the customer and their free baggage are still held in esteem.",3,0.364597,0.001292,0.316071,0.001292,0.364597,0.314164,0.001294,0.00129
11,Icelandair,Economy Class,1.0,no,"Extra late takeoff. Rude staff. Seats were reserved in January. We got emails this morning confirming our seats with checkin. When we arrived and got our boarding passes, my wife and I had completely different seats in 2 different rows no longer next to each other. When trying to get it corrected, which took about 25 minutes and 3 people before anyone would even help, we were told that our seats were now taken by other people, and they can't do anything to help. There was only one seat remaining in row 30 when we reserved row 12. Cannot reccomend.",1,0.509529,0.238618,0.509529,0.092573,0.00299,0.150322,0.002986,0.002983
12,Virgin Atlantic,Economy Class,2.0,no,Such a disappointment! Having flown with Virgin a few times we were looking forward to our flights from Edinburgh through Heathrow to Miami. Unfortunately Little Red flight delayed so we had to transfer to BA to get to Heathrow in time. Plane from Heathrow was cramped and uncomfortable seating - economy seats I know but had always been more comfortable and spacious in the past! 1 bar service in a 9h+ flight. Small spirit measure and 1 glass of wine with meal. Realise not a good idea to have much alcohol on long haul flights but feel there should have been 2-3 bar services throughout the entire flight. Water or juice only offered. Poor quality meal cheap ice lolly and pretty tasteless 2 finger sandwiches before landing. What's happened to this airline? Plane half empty. Staff more interested in having a social gathering amongst themselves at the back of the plane. Dirty smelly toilets - even just after boarding! Only positive points were we arrived on time with all baggage and to be fair experienced a good flight with Little Red on our return from Heathrow to Edinburgh - much more pleasant staff and the offer of a miniature spirit small bottle of wine - double the quantity we were offered on the long haul flights both out and return to Miami! Agree with other reviewers that we won't use Virgin again.,5,0.893067,0.001306,0.05075,0.001304,0.050966,0.001303,0.893067,0.001305
13,Emirates,Economy Class,4.0,no,Doha to Dubai EK848 and Dubai to Zurich EK087. Both flights were 25 March 2015. Emirates was a great airline but lately its service levels are declining. We took a trip from Doha to Zurich with connection in Doha. On first leg we asked for blankets but no attention was given until flight landed and on reminding air hostess were told that no blankets were available on flight. On second leg the food was quite poor and head phones were collected 30 minutes before landing. Certainly service levels have declined significantly compared to 2 years ago.,5,0.518884,0.149466,0.002808,0.002821,0.002811,0.002822,0.518884,0.320389
14,American Airlines,Economy Class,1.0,no,"I expect covid restrictions, but this airline made me wear their paper mask that felt like it was pulling my ears forward the whole flight, because my mask was ""unacceptable."" In Dallas I raced from one terminal to the next with no time to get food, only to sit on the plane for almost 2 hours before take off due to maintenance issues. I have flown many many times but have no confidence in this airline. I recommend you fly with someone else.",1,0.416531,0.302764,0.416531,0.003873,0.265197,0.003882,0.003884,0.00387
15,American Airlines,Economy Class,1.0,no,"✅ , | Baltimore to St Thomas via Charlotte with American Airlines. We had never taken any flights with AA before so we didn't know what to expect. Our flight was scheduled to leave BWI at 8:45am. We arrived at the airport at 6:45am. We boarded our plane at about 8:30 am, we then sat for 2 hours before we were told that we had missed our connecting flight from CLT to St Thomas and there were no more flights leaving and we would have to stay the night. Now this was a problem because we had a nonrefundable reservation at our hotel so we were going to lose a day of our vacation. Eventually, after calling customer service from the plane. We were booked on another flight leaving from Washington DC to Miami. So we get off the plane and take a $100 cab ride for a flight scheduled to leave Dulles at 12:45pm. We get there at about 12:15pm, go through security again, and make it the plane, only to sit on this plane for another 2 hours. Finally we leave and fly to Miami for a flight scheduled to leave a 5:55pm. We're sitting in the airport for 45 minutes and 10 minutes before the flight time they tell us to go to another gate which is in a total different wing of the terminal. So we run to the gate only to find out our 5:55pm flight is delayed. An hour later we board only to sit on yet another plane for almost 2 hours. We made it to St Thomas at 10:30pm. We were originally scheduled to arrive there at 3:30pm. So here we are 16 hours later, and have missed a half a day of our vacation, and AA thinks that was ok. The only thing they could say was oh well, you took the flight, you got there. Our return from St Thomas back home was about the same. Sitting in airports at the wrong gates and delayed flights. In my over 20 years of traveling I have never seen anything like that. This was by far the worst travel experience I've had.",3,0.953152,0.0415,0.001069,0.001071,0.953152,0.001071,0.001069,0.001068
16,Thomas Cook Airlines,Economy Class,1.0,no,I purchased a full package holiday to Egypt for December 2017 (Birmingham to Hurghada) and was offered at a cost for Thomas cook to obtain our visas. I agreed as I had no time to check and sort them. I received a document 4 weeks before saying I had a pre-paid visa. I arrived at the airport excited to travel was allowed to check my bags and spend nearly 3 hours in the airport only to be to at boarding that I was being refused travel due to not have 6 months left on my passport. I showed my visa confirmation issued by their company but was still turned away. They are now taking no responsibility for anything and I am down £1300.,4,0.528862,0.00266,0.002658,0.457845,0.002655,0.528862,0.002659,0.00266
17,Air Serbia,Economy Class,1.0,no,"Milan to Belgrade. I would suggest to anyone to avoid Etihad in general and especially Air Serbia. Often Etihad sells tickets under its name and afterwards flight is operated by Air Serbia (all flights via belgrade) and that is the biggest nightmare you can have. Terrible service in general, flights aways delayed for at least 45-60 min. Often longer delays. My last experience - engine got on fire while the airplane was leaving the gate, and following this we had 10 hours delay (2 hours in the plane, 2 hanging around begging for info, 2 further reschedulings of the departure). Air Serbia is keeping the monopoly of Belgrade airport and I need to use it unfortunately, but if you can avoid it, do it!",0,0.627087,0.627087,0.00231,0.002314,0.002311,0.322401,0.002317,0.041259
18,Turkish Airlines,Economy Class,1.0,no,"I was flying from BOM to CUN using my (unused) Schengen Visa. Mexico immigration clearly says that a person having a valid Schengen Visa does not require a Mexico Visa to for short-term travel to Mexico. Following the rules, the Turkish Airlines staff boarded me and issued boarding passes from BOM to IST and IST to CUN. I reached IST and when I reached the boarding gate of my Mexico flight, I was denied boarding by the Turkish Airlines staff citing that the Schengen Visa must be used before to travel to a Schengen country before flying to Mexico. This self made logic of theirs is ridiculous because firstly - 1) Mexico govt simply mentions that any type of multi entry Schengen Visa is accepted. 2) A Visa is not an obligation to travel, if I got a Schengen Visa that does not bound me to travel to Europe. 3) Also, I know a couple of my friends who also flew to Mexico on their unused Schengen Visa with other Airlines and they were allowed entry to Mexico without any hassles at the Mexico airport immigration. After I was denied boarding at Istanbul (IST) airport gate, I was made to run behind counter after counter but no one in the Turkish Airlines staff actually knew how to handle this situation and they demonstrated an utmost level of hostility and lack of empathy. Because of all this, my entire trip got ruined. Now I have been waiting for a week for at least a full refund if not compensation for the mental agony they caused me but they are not responding and acting as if nothing happened.",2,0.711267,0.001176,0.001175,0.711267,0.001174,0.28286,0.001174,0.001174
19,Vueling Airlines,Economy Class,1.0,no,Porto to Barcelona. My husband is not especially tall average height of around 170 cm. His knees touched the seat in front. How lucky he isn't taller! This travel experience would make us rank Vueling at the bottom of the list. When we arrived at Barcelona the pilot advised we would be disembarking from both the front and rear of the plane. This idea was most appreciated but very short lived. It took at least 15 minutes if not longer for the steps to arrive but pleasingly one bus arrived before the steps.  If we could have floated down from the plane to the ground and into the bus I am sure most of the passengers would have been delighted. A disappointing experience all round.,0,0.532423,0.532423,0.002761,0.002755,0.002755,0.002755,0.4538,0.002752
