term,polarity,score,category,domain,source_file,is_passenger_relevant
aborted takeoff,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
abruptly cancelled,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
accident,negative,-2,safety,safety,aviation_sentiment_lexicon_full.csv,False
accurate information,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
advanced,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
affordable,positive,1,pricing,passenger,aviation_sentiment_lexicon_full.csv,True
ahead of schedule,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
alert,positive,1,training,safety,aviation_sentiment_lexicon_full.csv,False
annoying,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
anxious,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True
arrogant,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True
attentive,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
autopilot failure,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
awful experience,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
bad experience,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
bad service,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
bad smell,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
baggage not delivered,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True
biased,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True
bird strike,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
brand-new,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
broken baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True
broken belt,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
broken screen,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
broken seat,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
cabin depressurization,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
cancelled,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
careless,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
caring,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
catastrophic failure,negative,-3,safety,safety,aviation_sentiment_lexicon_full.csv,False
certified,positive,1,training,safety,aviation_sentiment_lexicon_full.csv,False
chaotic boarding,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
child-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
clean,positive,1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
clear announcements,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
clear instructions,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
clear refund policy,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
clearly communicated,positive,1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
cold staff,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
collision,negative,-2,safety,safety,aviation_sentiment_lexicon_full.csv,False
comfortable,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
comfortable journey,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
communication failure,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
competent,positive,1,training,safety,aviation_sentiment_lexicon_full.csv,False
compliant,positive,1,safety,safety,aviation_sentiment_lexicon_full.csv,False
concerned,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
conflicting information,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
confusing policy,negative,-1,communication,passenger,aviation_sentiment_lexicon_full.csv,True
consistent,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
consistently on-time,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
constant delay,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
contaminated runway,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
controlled,positive,1,operations,safety,aviation_sentiment_lexicon_full.csv,True
convenient,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
cost-effective,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
courteous,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
cramped,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
crash,negative,-3,safety,safety,aviation_sentiment_lexicon_full.csv,False
critical failure,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
crosswind hazard,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
crowded,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
damaged baggage,negative,-1,baggage,passenger,aviation_sentiment_lexicon_full.csv,True
deeply disappointing,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
delayed,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
delayed baggage,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
delightful experience,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
dirty,negative,-1,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
disappointing,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
discriminatory,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True
dismissive,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True
disorganized,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
disrespectful,negative,-1,service,passenger,aviation_sentiment_lexicon_full.csv,True
distrustful,negative,-1,emotion,safety,aviation_sentiment_lexicon_full.csv,True
easy check-in,positive,1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
eco-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
efficient,positive,2,service,passenger,aviation_sentiment_lexicon_full.csv,True
efficient boarding,positive,2,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
elderly-friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
empathetic,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
engine failure,negative,-2,safety,safety,aviation_sentiment_lexicon_full.csv,False
engine fire,negative,-3,safety,safety,aviation_sentiment_lexicon_full.csv,False
enjoyable flight,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
enjoyable journey,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
environmentally friendly,positive,1,service,passenger,aviation_sentiment_lexicon_full.csv,True
excellent,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True
exceptional,positive,3,service,passenger,aviation_sentiment_lexicon_full.csv,True
excessive waiting,negative,-1,schedule,passenger,aviation_sentiment_lexicon_full.csv,True
exhausted,negative,-1,operations,safety,aviation_sentiment_lexicon_full.csv,True
experienced,positive,1,training,safety,aviation_sentiment_lexicon_full.csv,False
extreme turbulence,negative,-1,safety,safety,aviation_sentiment_lexicon_full.csv,False
extremely comfortable,positive,2,comfort,passenger,aviation_sentiment_lexicon_full.csv,True
